contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
ERZ773086.38-NODE-38-length-126097-cov-67.097571	126097	phage	0.025	0.944	False	False	0.426	0.000	bacteria	0	61	0	0	-1.965	1.341	6.703	2.453	-7.020	3.678	-5.344	1.307	61V	ITR	13.000
ERZ773086.13-NODE-13-length-187045-cov-10.251874	187045	non-phage	0.076	0.976	False	True	0.656	0.000		91	0	0	0	6.285	1.172	0.247	0.727	-7.461	2.764	-3.883	0.464	91n		
ERZ773086.21-NODE-21-length-156152-cov-42.125928	156152	non-phage	0.203	0.874	False	True	0.653	0.000		75	1	0	0	4.367	1.211	-0.527	1.589	-5.438	3.344	-2.910	1.581	41n1V34n	ITR	13.000
ERZ773086.46-NODE-46-length-114670-cov-5.865881	114670	non-phage	0.524	0.770	False	False	0.496	0.000		41	13	1	0	3.311	2.691	1.464	1.208	-4.316	3.225	-3.809	2.043	11n2V6n3V1n1V2n5V11n1V7n1V4n	DTR	14.000
ERZ773086.2-NODE-2-length-449051-cov-9.497365	449051	non-phage	0.048	0.984	False	True	0.664	0.000		219	0	0	0	6.539	0.811	0.040	0.726	-7.926	2.393	-4.016	0.567	219n	DTR	13.000
ERZ773086.1-NODE-1-length-475735-cov-41.062803	475735	non-phage	0.194	0.883	False	True	0.652	0.000		226	5	1	0	4.371	1.374	-0.560	1.406	-5.617	2.949	-2.848	1.548	148n2V38n1V9n1V1n1V31n		
ERZ773086.29-NODE-29-length-145692-cov-9.343800	145692	non-phage	0.060	0.976	False	True	0.655	0.000		71	0	0	0	6.367	0.993	0.161	0.576	-7.535	2.697	-3.910	0.504	71n	DTR	13.000
ERZ773086.37-NODE-37-length-129268-cov-9.522331	129268	non-phage	0.037	0.989	False	True	0.651	0.000		63	0	0	0	6.520	0.668	0.025	0.680	-8.109	1.250	-4.172	0.387	63n	DTR	14.000
ERZ773086.12-NODE-12-length-198013-cov-46.336036	198013	non-phage	0.249	0.877	False	True	0.647	0.000		93	3	0	0	4.125	1.100	-0.077	1.438	-5.625	2.131	-2.959	1.333	4n1V19n1V29n1V41n	ITR	14.000
ERZ773086.20-NODE-20-length-158408-cov-9.679311	158408	phage	0.371	0.745	False	False	0.463	0.000	bacteria	8	69	0	0	0.185	1.839	3.605	2.041	-5.297	2.299	-2.572	1.180	1n16V1n19V1n6V1n1V1n11V1n5V1n11V1n	DTR	55.000
ERZ773086.45-NODE-45-length-115288-cov-9.121910	115288	non-phage	0.358	0.822	False	True	0.573	0.000		53	3	0	0	4.102	1.377	0.659	1.217	-4.883	4.340	-3.781	0.907	3n1V17n1V1n1V32n	DTR	15.000
