contig_id	length	prediction	entropy	reliability_score	host_contam	prophage_contam	G+C	N%	prediction_2	#_bacteria_windows	#_phage_windows	#_eukarya_windows	#_archaea_windows	bacteria_score	bacteria_var	phage_score	phage_var	eukarya_score	eukarya_var	archaea_score	archaea_var	window_summary	terminal_repeats	repeat_length
ERZ773086.38-NODE-38-length-126097-cov-67.097571	126097	phage	0.025	0.944	False	False	0.426	0.000	bacteria	0	61	0	0	-1.965	1.341	6.703	2.453	-7.020	3.678	-5.344	1.307	61V	ITR	13.000
ERZ773086.20-NODE-20-length-158408-cov-9.679311	158408	phage	0.371	0.745	False	False	0.463	0.000	bacteria	8	69	0	0	0.185	1.839	3.605	2.041	-5.297	2.299	-2.572	1.180	1n16V1n19V1n6V1n1V1n11V1n5V1n11V1n	DTR	55.000
ERZ773086.78-NODE-78-length-84868-cov-66.454529	84868	phage	0.015	0.972	False	False	0.419	0.000	bacteria	0	41	0	0	-1.937	0.963	6.859	1.849	-7.367	3.324	-5.496	1.294	41V	ITR	14.000
ERZ773086.88-NODE-88-length-80371-cov-9.916081	80371	phage	0.288	0.859	True	False	0.391	0.000	bacteria	15	24	0	0	1.097	4.898	3.559	5.926	-6.234	1.597	-3.246	1.155	1n2V2n22V12n	DTR	15.000
ERZ773086.92-NODE-92-length-78447-cov-10.611988	78447	phage	0.280	0.807	True	False	0.371	0.000	bacteria	14	24	0	0	1.381	4.863	3.166	6.211	-5.875	2.061	-3.180	1.845	2n1V1n1V3n19V3n1V3n1V1n1V1n	DTR	13.000
ERZ773086.110-NODE-110-length-70918-cov-4.578539	70918	phage	0.188	0.819	False	False	0.310	0.000	bacteria	0	34	0	0	-0.255	1.087	4.500	1.215	-5.773	1.405	-3.740	1.055	34V	DTR	13.000
ERZ773086.120-NODE-120-length-66944-cov-73.670499	66944	phage	0.104	0.939	True	False	0.413	0.000	bacteria	15	17	0	0	1.697	9.883	3.088	7.520	-5.824	0.711	-3.418	0.789	12n17V3n		
ERZ773086.145-NODE-145-length-59556-cov-12.184417	59556	phage	0.010	0.930	False	False	0.366	0.000	bacteria	0	29	0	0	-2.775	0.792	7.586	1.987	-6.863	2.625	-3.477	1.018	29V	DTR	55.000
ERZ773086.176-NODE-176-length-53607-cov-38.586327	53607	phage	0.233	0.790	False	False	0.582	0.000	bacteria	8	18	0	0	2.090	4.219	3.211	3.197	-5.215	1.102	-3.941	0.611	7n18V1n		
ERZ773086.215-NODE-215-length-48888-cov-37.094997	48888	phage	0.099	0.889	False	False	0.527	0.000	bacteria	0	23	0	0	-1.396	0.877	5.262	2.613	-6.152	1.830	-3.043	0.994	23V	DTR	52.000
ERZ773086.219-NODE-219-length-48204-cov-4.136098	48204	phage	0.339	0.785	False	False	0.525	0.000	bacteria	5	18	0	0	2.768	3.477	4.473	3.686	-7.445	1.252	-4.832	0.523	4n8V1n10V	DTR	14.000
ERZ773086.220-NODE-220-length-48176-cov-5.536585	48176	phage	0.291	0.798	False	False	0.353	0.000	bacteria	1	22	0	0	-0.045	0.800	4.098	1.670	-5.480	2.188	-3.451	1.840	20V1n2V		
ERZ773086.222-NODE-222-length-47990-cov-516.760634	47990	phage	0.538	0.622	False	False	0.456	0.000	bacteria	6	17	0	0	1.034	1.874	3.061	1.824	-4.367	2.957	-3.535	1.249	3V1n1V1n1V2n12V2n		
ERZ773086.235-NODE-235-length-44455-cov-12.032928	44455	phage	0.219	0.831	True	False	0.547	0.000	bacteria	6	15	0	0	0.745	3.918	3.701	9.656	-7.887	1.980	-2.213	2.648	15V6n		
ERZ773086.238-NODE-238-length-44105-cov-45.439523	44105	phage	0.014	0.833	False	False	0.538	0.000	bacteria	0	21	0	0	-2.801	0.271	6.109	1.554	-4.465	1.641	-3.375	0.629	21V	DTR	55.000
ERZ773086.245-NODE-245-length-43073-cov-18.123553	43073	phage	0.107	0.860	False	False	0.553	0.000	bacteria	0	21	0	0	-0.629	0.648	4.859	1.107	-5.820	1.816	-3.180	0.955	21V	DTR	27.000
